,CVEno,pubdate,CVSS,category,SLA,jobtype,team1,team2,team3,totaltime
31,32,2017-03-17 00:59:00,7.5,high,7,concurrent,1,7,3,11
32,33,2017-03-17 00:59:00,7.5,high,7,concurrent,5,3,0,8
33,34,2017-02-26 23:59:00,8.1,high,7,concurrent,1,6,2,9
34,35,2017-02-20 16:59:00,5.5,medium,14,concurrent,4,4,0,8
35,36,2017-03-17 00:59:00,7.8,high,7,concurrent,1,6,2,9
36,37,2017-03-17 00:59:00,7.5,high,7,concurrent,5,2,3,10
37,38,2017-03-17 00:59:00,3.1,low,30,concurrent,4,6,2,12
38,39,2017-03-17 00:59:00,5.3,medium,14,concurrent,2,3,2,7
39,40,2017-03-17 00:59:00,5.5,medium,14,concurrent,3,7,1,11
40,41,2017-03-17 00:59:00,7.8,high,7,concurrent,3,4,1,8
41,42,2017-03-17 00:59:00,4.3,medium,14,concurrent,1,7,3,11
42,43,2017-03-17 00:59:00,7.8,high,7,concurrent,2,7,0,9
43,44,2017-03-17 00:59:00,5.4,medium,14,concurrent,3,7,3,13
44,45,2017-03-17 00:59:00,7.8,high,7,concurrent,5,0,1,6
45,46,2017-03-17 00:59:00,7.8,high,7,concurrent,2,1,1,4
46,47,2017-03-17 00:59:00,6.1,medium,14,concurrent,2,3,0,5
47,48,2017-03-17 00:59:00,7.8,high,7,concurrent,4,7,0,11
48,49,2017-03-17 00:59:00,4.3,medium,14,concurrent,0,0,1,1
49,50,2017-04-12 14:59:00,4.7,medium,14,concurrent,3,6,1,10
50,51,2017-03-17 00:59:00,4.3,medium,14,concurrent,2,0,1,3
51,52,2017-03-17 00:59:00,4.7,medium,14,concurrent,4,7,0,11
52,53,2017-03-17 00:59:00,5.3,medium,14,concurrent,5,0,1,6
53,54,2017-03-17 00:59:00,4.7,medium,14,concurrent,4,1,3,8
54,55,2017-03-17 00:59:00,6.5,medium,14,concurrent,3,2,2,7
55,56,2017-05-12 14:29:00,6.5,medium,14,concurrent,4,5,0,9
56,57,2017-03-17 00:59:00,4.3,medium,14,concurrent,2,6,0,8
57,58,2017-03-17 00:59:00,4.2,medium,14,concurrent,1,7,2,10
58,59,2017-03-17 00:59:00,7.5,high,7,concurrent,5,0,2,7
59,60,2017-03-17 00:59:00,4.3,medium,14,concurrent,3,7,1,11
60,61,2017-03-17 00:59:00,4.3,medium,14,sequential,3,5,1,9
61,62,2017-03-17 00:59:00,7.5,high,7,concurrent,1,3,0,4
62,63,2017-03-17 00:59:00,7.5,high,7,concurrent,2,0,2,4
63,64,2017-03-17 00:59:00,8.8,high,7,concurrent,4,5,3,12
64,65,2017-03-17 00:59:00,4.3,medium,14,concurrent,3,7,2,12
65,66,2017-03-17 00:59:00,5.4,medium,14,concurrent,1,1,2,4
66,67,2017-03-17 00:59:00,7.6,high,7,concurrent,2,1,0,3
67,68,2017-03-17 00:59:00,5.4,medium,14,concurrent,2,2,0,4
68,69,2017-05-12 14:29:00,7.8,high,7,concurrent,1,1,0,2
69,70,2017-03-17 00:59:00,7.8,high,7,concurrent,1,1,0,2
70,71,2017-03-17 00:59:00,7.8,high,7,concurrent,1,6,0,7
71,72,2017-03-17 00:59:00,7.8,high,7,concurrent,3,7,1,11
72,73,2017-03-17 00:59:00,7.8,high,7,concurrent,2,6,3,11
73,74,2017-03-17 00:59:00,7.8,high,7,concurrent,4,7,1,12
74,75,2017-03-17 00:59:00,8.8,high,7,concurrent,1,0,0,1
75,76,2017-03-17 00:59:00,8.8,high,7,concurrent,2,1,1,4
76,77,2017-03-17 00:59:00,4.3,medium,14,concurrent,0,3,2,5
77,78,2017-03-17 00:59:00,8.8,high,7,concurrent,2,7,2,11
78,79,2017-03-17 00:59:00,8.8,high,7,concurrent,0,3,2,5
79,80,2017-03-17 00:59:00,8.8,high,7,concurrent,5,3,3,11
80,81,2017-03-17 00:59:00,8.8,high,7,concurrent,2,0,0,2
81,82,2017-03-17 00:59:00,8.8,high,7,concurrent,5,4,2,11
82,83,2017-03-17 00:59:00,4.3,medium,14,concurrent,3,2,1,6
83,84,2017-03-17 00:59:00,4.3,medium,14,concurrent,3,5,2,10
84,85,2017-04-12 14:59:00,7.5,high,7,concurrent,1,1,2,4
85,86,2017-03-17 00:59:00,7.5,high,7,concurrent,4,5,0,9
86,87,2017-03-17 00:59:00,7.6,high,7,concurrent,4,0,1,5
87,88,2017-03-17 00:59:00,2.6,low,30,concurrent,4,0,3,7
88,89,2017-03-17 00:59:00,5.4,medium,14,concurrent,0,5,3,8
89,90,2017-03-17 00:59:00,5.4,medium,14,concurrent,1,7,0,8
90,91,2017-03-17 00:59:00,5.4,medium,14,concurrent,3,7,1,11
91,92,2017-03-17 00:59:00,7.8,high,7,concurrent,3,3,3,9
92,93,2017-03-17 00:59:00,7.8,high,7,concurrent,0,2,2,4
93,94,2017-03-17 00:59:00,7.8,high,7,sequential,3,4,1,8
94,95,2017-03-17 00:59:00,7.0,high,7,concurrent,5,4,2,11
95,96,2017-03-17 00:59:00,8.1,high,7,concurrent,2,1,2,5
96,97,2017-03-17 00:59:00,5.5,medium,14,concurrent,3,2,3,8
97,98,2017-04-12 14:59:00,7.8,high,7,concurrent,1,1,0,2
98,99,2017-03-17 00:59:00,6.1,medium,14,concurrent,4,2,0,6
99,100,2017-03-17 00:59:00,7.8,high,7,concurrent,3,1,0,4
100,101,2017-03-17 00:59:00,7.6,high,7,concurrent,5,1,2,8
101,102,2017-03-17 00:59:00,6.1,medium,14,concurrent,0,6,3,9
102,103,2017-03-17 00:59:00,4.3,medium,14,concurrent,0,2,3,5
103,104,2017-03-17 00:59:00,4.3,medium,14,concurrent,1,7,0,8
104,105,2017-03-17 00:59:00,4.3,medium,14,sequential,4,2,2,8
105,106,2017-03-17 00:59:00,4.3,medium,14,sequential,3,1,3,7
106,107,2017-03-17 00:59:00,4.3,medium,14,concurrent,3,5,0,8
107,108,2017-03-17 00:59:00,4.3,medium,14,concurrent,3,7,0,10
108,109,2017-03-17 00:59:00,4.3,medium,14,sequential,3,4,3,10
109,110,2017-03-17 00:59:00,4.3,medium,14,concurrent,4,5,0,9
110,111,2017-03-17 00:59:00,4.3,medium,14,concurrent,5,3,0,8
111,112,2017-03-17 00:59:00,4.3,medium,14,concurrent,4,4,3,11
112,113,2017-03-17 00:59:00,4.3,medium,14,concurrent,2,1,2,5
113,114,2017-03-17 00:59:00,4.3,medium,14,concurrent,3,0,0,3
114,115,2017-03-17 00:59:00,4.3,medium,14,concurrent,3,7,0,10
115,116,2017-03-17 00:59:00,4.3,medium,14,concurrent,0,0,2,2
116,117,2017-03-17 00:59:00,4.3,medium,14,sequential,0,7,2,9
117,118,2017-03-17 00:59:00,4.3,medium,14,concurrent,1,4,0,5
118,119,2017-03-17 00:59:00,4.3,medium,14,concurrent,5,1,0,6
119,120,2017-03-17 00:59:00,4.3,medium,14,concurrent,0,3,2,5
120,121,2017-03-17 00:59:00,7.5,high,7,concurrent,4,5,2,11
121,122,2017-03-17 00:59:00,7.5,high,7,concurrent,1,4,3,8
122,123,2017-03-17 00:59:00,7.5,high,7,concurrent,4,4,1,9
123,124,2017-03-17 00:59:00,7.5,high,7,concurrent,0,3,2,5
124,125,2017-03-17 00:59:00,7.5,high,7,concurrent,5,1,3,9
125,126,2017-03-17 00:59:00,7.5,high,7,concurrent,3,3,3,9
126,127,2017-03-17 00:59:00,4.2,medium,14,concurrent,2,7,2,11
127,128,2017-03-17 00:59:00,7.5,high,7,concurrent,4,7,0,11
128,129,2017-03-17 00:59:00,7.5,high,7,concurrent,0,4,1,5
129,130,2017-03-17 00:59:00,7.5,high,7,concurrent,5,6,1,12
130,131,2017-03-17 00:59:00,4.2,medium,14,concurrent,3,0,0,3
131,132,2017-03-17 00:59:00,7.5,high,7,concurrent,1,2,1,4
132,133,2017-03-17 00:59:00,8.1,high,7,concurrent,5,3,2,10
133,134,2017-03-17 00:59:00,8.1,high,7,concurrent,4,5,0,9
134,135,2017-03-17 00:59:00,8.1,high,7,concurrent,4,2,0,6
135,136,2017-03-17 00:59:00,8.1,high,7,sequential,4,6,0,10
136,137,2017-03-17 00:59:00,5.9,medium,14,concurrent,2,7,1,10
137,138,2017-03-17 00:59:00,8.1,high,7,concurrent,5,6,3,14
138,139,2017-03-17 00:59:00,7.5,high,7,concurrent,1,3,2,6
139,140,2017-03-17 00:59:00,7.5,high,7,concurrent,0,4,2,6
140,141,2017-03-17 00:59:00,7.5,high,7,concurrent,5,4,1,10
141,142,2017-07-17 13:18:00,8.1,high,7,concurrent,4,5,2,11
142,143,2017-03-17 00:59:00,4.4,medium,14,sequential,4,0,0,4
143,144,2017-04-12 14:59:00,7.0,high,7,concurrent,5,4,1,10
144,145,2017-04-12 14:59:00,7.0,high,7,concurrent,3,1,1,5
145,146,2017-04-12 14:59:00,7.5,high,7,concurrent,3,6,0,9
146,147,2017-04-12 14:59:00,3.7,low,30,concurrent,3,5,3,11
147,148,2017-04-12 14:59:00,7.8,high,7,concurrent,4,7,3,14
148,149,2017-09-13 01:29:00,8.1,high,7,concurrent,4,3,0,7
149,150,2017-04-12 14:59:00,7.6,high,7,concurrent,1,5,0,6
150,151,2017-04-12 14:59:00,7.6,high,7,concurrent,3,3,2,8
151,152,2017-04-12 14:59:00,4.4,medium,14,concurrent,3,7,1,11
152,153,2017-04-12 14:59:00,7.8,high,7,sequential,3,7,0,10
153,154,2017-04-12 14:59:00,8.1,high,7,concurrent,5,1,3,9
154,155,2017-04-12 14:59:00,5.5,medium,14,concurrent,4,1,0,5
155,156,2017-04-12 14:59:00,5.8,medium,14,concurrent,5,2,3,10
156,157,2017-04-12 14:59:00,5.4,medium,14,sequential,0,3,3,6
157,158,2017-07-11 21:29:00,6.5,medium,14,concurrent,0,4,0,4
158,159,2017-05-12 14:29:00,5.9,medium,14,concurrent,0,1,1,2
159,160,2017-06-15 01:29:00,5.3,medium,14,concurrent,2,1,1,4
160,161,2017-08-08 21:29:00,6.5,medium,14,concurrent,0,5,1,6
161,162,2017-05-12 14:29:00,4.7,medium,14,concurrent,3,3,0,6
162,163,2017-06-22 14:29:00,8.1,high,7,concurrent,2,1,3,6
163,164,2017-04-12 14:59:00,5.4,medium,14,concurrent,2,5,2,9
164,165,2017-04-12 14:59:00,5.8,medium,14,concurrent,3,4,0,7
165,166,2017-04-12 14:59:00,7.6,high,7,concurrent,4,7,2,13
166,167,2017-04-12 14:59:00,7.6,high,7,sequential,4,4,2,10
167,168,2017-04-12 14:59:00,5.8,medium,14,concurrent,5,6,3,14
168,169,2017-04-12 14:59:00,5.8,medium,14,concurrent,5,1,0,6
169,170,2017-04-12 14:59:00,5.4,medium,14,sequential,2,5,3,10
170,171,2017-04-12 14:59:00,5.8,medium,14,concurrent,5,3,0,8
171,172,2017-04-12 14:59:00,5.8,medium,14,sequential,5,0,2,7
172,173,2017-04-12 14:59:00,3.3,low,30,concurrent,5,2,3,10
173,174,2017-04-12 14:59:00,7.8,high,7,concurrent,5,2,0,7
174,175,2017-05-12 14:29:00,4.4,medium,14,concurrent,4,6,2,12
175,176,2017-04-12 14:59:00,5.8,medium,14,concurrent,3,4,3,10
176,177,2017-04-12 14:59:00,4.3,medium,14,concurrent,4,5,2,11
177,178,2017-06-15 01:29:00,7.8,high,7,concurrent,3,3,1,7
178,179,2017-04-12 14:59:00,5.5,medium,14,concurrent,2,4,3,9
179,180,2017-04-12 14:59:00,5.4,medium,14,concurrent,2,0,2,4
180,181,2017-07-17 13:18:00,6.5,medium,14,concurrent,1,0,3,4
181,182,2017-04-12 14:59:00,7.8,high,7,concurrent,5,1,0,6
182,183,2017-04-12 14:59:00,7.8,high,7,concurrent,0,1,2,3
183,184,2017-04-12 14:59:00,7.5,high,7,sequential,0,4,0,4
184,185,2017-04-12 14:59:00,7.5,high,7,concurrent,4,3,2,9
185,186,2017-04-12 14:59:00,7.5,high,7,concurrent,0,7,3,10
186,187,2017-04-12 14:59:00,4.3,medium,14,concurrent,0,3,2,5
187,188,2017-04-12 14:59:00,5.5,medium,14,concurrent,4,1,2,7
188,189,2017-04-12 14:59:00,7.5,high,7,concurrent,5,4,1,10
189,190,2017-04-12 14:59:00,6.5,medium,14,concurrent,2,0,3,5
190,191,2017-04-12 14:59:00,4.3,medium,14,concurrent,5,4,0,9
191,192,2017-04-12 14:59:00,4.3,medium,14,concurrent,4,6,2,12
192,193,2017-04-12 14:59:00,5.5,medium,14,concurrent,0,6,0,6
193,194,2017-05-12 14:29:00,7.6,high,7,sequential,2,7,2,11
194,195,2017-05-12 14:29:00,4.7,medium,14,concurrent,5,7,2,14
195,196,2017-05-12 14:29:00,7.0,high,7,concurrent,0,1,3,4
196,197,2017-06-15 01:29:00,5.3,medium,14,concurrent,5,1,2,8
197,198,2017-06-15 01:29:00,5.3,medium,14,concurrent,0,1,2,3
198,199,2017-06-15 01:29:00,5.3,medium,14,concurrent,3,7,2,12
199,200,2017-06-15 01:29:00,5.3,medium,14,concurrent,5,4,1,10
200,201,2017-05-12 14:29:00,4.7,medium,14,concurrent,1,1,0,2
201,202,2017-05-12 14:29:00,7.5,high,7,concurrent,2,5,3,10
202,203,2017-05-12 14:29:00,7.5,high,7,concurrent,2,6,2,10
203,204,2017-05-15 17:29:00,9.8,critical,3,concurrent,2,7,0,9
204,205,2017-05-12 14:29:00,7.5,high,7,concurrent,4,1,0,5
205,206,2017-05-12 14:29:00,7.5,high,7,concurrent,0,5,2,7
206,207,2017-05-12 14:29:00,7.5,high,7,concurrent,4,1,1,6
207,208,2017-05-12 14:29:00,7.5,high,7,concurrent,3,2,3,8
208,209,2017-05-12 14:29:00,7.5,high,7,sequential,2,3,3,8
209,210,2017-05-12 14:29:00,7.5,high,7,concurrent,4,4,1,9
210,211,2017-05-12 14:29:00,4.3,medium,14,concurrent,3,0,2,5
211,212,2017-05-12 14:29:00,8.3,high,7,concurrent,2,2,2,6
212,213,2017-05-12 14:29:00,7.5,high,7,concurrent,2,3,3,8
213,214,2017-05-12 14:29:00,7.5,high,7,concurrent,2,1,0,3
214,215,2017-05-12 14:29:00,7.5,high,7,concurrent,1,6,2,9
215,216,2017-05-12 14:29:00,7.5,high,7,concurrent,3,2,2,7
216,217,2017-05-12 14:29:00,7.5,high,7,concurrent,3,2,1,6
217,218,2017-05-12 14:29:00,5.3,medium,14,concurrent,0,6,3,9
218,219,2017-05-12 14:29:00,5.5,medium,14,concurrent,5,7,2,14
219,220,2017-07-11 21:29:00,7.8,high,7,concurrent,4,6,1,11
220,221,2017-05-12 14:29:00,6.7,medium,14,concurrent,4,7,3,14
221,222,2017-05-12 14:29:00,4.7,medium,14,concurrent,2,6,1,9
222,223,2017-05-12 14:29:00,7.0,high,7,concurrent,1,6,1,8
223,224,2017-05-12 14:29:00,7.5,high,7,concurrent,5,5,2,12
224,225,2017-05-12 14:29:00,7.5,high,7,concurrent,0,1,1,2
225,226,2017-05-12 14:29:00,7.3,high,7,concurrent,1,7,3,11
226,227,2017-08-08 21:29:00,7.8,high,7,concurrent,3,1,0,4
227,228,2017-05-15 17:29:00,9.8,critical,3,concurrent,5,0,3,8
228,229,2017-05-12 14:29:00,7.8,high,7,concurrent,5,5,0,10
229,230,2017-05-12 14:29:00,5.4,medium,14,concurrent,1,2,1,4
230,231,2017-05-12 14:29:00,5.3,medium,14,concurrent,5,5,1,11
231,232,2017-05-12 14:29:00,4.7,medium,14,concurrent,0,4,0,4
232,233,2017-05-12 14:29:00,4.7,medium,14,concurrent,3,5,1,9
233,234,2017-06-15 01:29:00,7.8,high,7,concurrent,4,6,1,11
234,235,2017-05-12 14:29:00,7.8,high,7,concurrent,2,1,0,3
235,236,2017-05-12 14:29:00,7.8,high,7,concurrent,2,4,1,7
236,237,2017-05-12 14:29:00,7.8,high,7,concurrent,3,4,0,7
237,238,2017-05-12 14:29:00,7.8,high,7,concurrent,4,5,3,12
238,239,2017-05-12 14:29:00,7.8,high,7,sequential,5,1,3,9
239,240,2017-05-12 14:29:00,7.5,high,7,concurrent,4,1,3,8
240,241,2017-05-12 14:29:00,5.9,medium,14,concurrent,1,5,3,9
241,242,2017-05-12 14:29:00,5.9,medium,14,concurrent,5,3,2,10
242,243,2017-05-12 14:29:00,5.9,medium,14,concurrent,5,5,3,13
243,244,2017-05-12 14:29:00,5.9,medium,14,concurrent,2,7,2,11
244,245,2017-05-12 14:29:00,5.9,medium,14,concurrent,4,1,2,7
245,246,2017-05-12 14:29:00,8.1,high,7,concurrent,5,2,3,10
246,247,2017-05-12 14:29:00,5.9,medium,14,concurrent,4,1,1,6
247,248,2017-05-12 14:29:00,5.9,medium,14,concurrent,3,1,3,7
248,249,2017-05-12 14:29:00,5.9,medium,14,concurrent,5,0,3,8
249,250,2017-05-12 14:29:00,5.9,medium,14,concurrent,0,2,0,2
250,251,2017-05-12 14:29:00,7.0,high,7,concurrent,4,5,2,11
251,252,2017-05-12 14:29:00,7.0,high,7,concurrent,4,3,3,10
252,253,2017-05-12 14:29:00,7.0,high,7,concurrent,3,6,1,10
253,254,2017-05-12 14:29:00,5.9,medium,14,concurrent,1,0,3,4
254,255,2017-05-12 14:29:00,7.8,high,7,sequential,2,7,2,11
255,256,2017-06-15 01:29:00,5.0,medium,14,sequential,5,0,3,8
256,257,2017-06-15 01:29:00,8.8,high,7,concurrent,0,1,2,3
257,258,2017-06-15 01:29:00,5.0,medium,14,concurrent,1,4,3,8
258,259,2017-06-15 01:29:00,5.0,medium,14,concurrent,2,6,2,10
259,260,2017-06-15 01:29:00,5.0,medium,14,concurrent,5,1,1,7
260,261,2017-06-15 01:29:00,5.0,medium,14,concurrent,0,2,2,4
261,262,2017-06-15 01:29:00,5.0,medium,14,concurrent,5,5,0,10
262,263,2017-06-15 01:29:00,5.0,medium,14,concurrent,2,1,0,3
263,264,2017-05-09 06:29:00,7.8,high,7,concurrent,2,3,3,8
264,265,2017-06-15 01:29:00,7.8,high,7,concurrent,1,2,1,4
265,266,2017-06-15 01:29:00,7.8,high,7,sequential,4,2,2,8
266,267,2017-08-08 21:29:00,7.5,high,7,concurrent,0,4,0,4
267,268,2017-06-15 01:29:00,7.8,high,7,concurrent,1,2,3,6
268,269,2017-06-15 01:29:00,5.5,medium,14,concurrent,2,1,2,5
269,270,2017-06-15 01:29:00,7.8,high,7,sequential,1,0,3,4
270,271,2017-06-15 01:29:00,5.0,medium,14,concurrent,5,4,2,11
271,272,2017-06-15 01:29:00,7.3,high,7,concurrent,3,7,0,10
272,273,2017-06-15 01:29:00,5.0,medium,14,concurrent,0,7,0,7
273,274,2017-06-15 01:29:00,5.0,medium,14,concurrent,1,4,3,8
274,275,2017-12-21 17:29:00,7.6,high,7,concurrent,0,3,0,3
275,276,2017-05-09 15:29:00,5.3,medium,14,concurrent,5,0,1,6
276,277,2017-10-27 14:29:00,7.5,high,7,sequential,2,6,3,11
277,278,2017-12-21 17:29:00,5.4,medium,14,concurrent,1,7,1,9
278,279,2017-04-06 14:59:00,9.8,critical,3,concurrent,4,2,0,6
279,280,2017-03-08 01:59:00,7.8,high,7,sequential,0,3,2,5
280,281,2017-03-08 01:59:00,7.8,high,7,concurrent,1,6,3,10
281,282,2017-02-15 23:59:00,8.8,high,7,concurrent,0,7,0,7
282,283,2017-02-15 23:59:00,8.8,high,7,sequential,3,1,3,7
283,284,2017-02-15 23:59:00,6.5,medium,14,concurrent,4,7,2,13
284,285,2017-02-15 23:59:00,8.8,high,7,concurrent,2,3,2,7
285,286,2017-02-15 23:59:00,7.8,high,7,concurrent,4,7,1,12
286,287,2017-02-15 23:59:00,7.8,high,7,concurrent,4,4,2,10
287,288,2017-02-15 23:59:00,7.8,high,7,concurrent,4,0,1,5
288,289,2017-02-15 23:59:00,7.8,high,7,sequential,1,3,2,6
289,290,2017-10-16 21:29:00,7.8,high,7,concurrent,2,2,1,5
290,291,2017-02-15 23:59:00,7.5,high,7,sequential,0,7,0,7
291,292,2017-02-15 23:59:00,5.5,medium,14,concurrent,1,5,0,6
292,293,2017-02-15 23:59:00,5.5,medium,14,concurrent,1,2,0,3
293,294,2017-02-15 23:59:00,5.5,medium,14,concurrent,1,7,2,10
294,295,2017-02-15 23:59:00,8.8,high,7,sequential,0,5,0,5
295,296,2017-02-15 23:59:00,7.8,high,7,concurrent,0,0,1,1
296,297,2017-02-15 23:59:00,7.8,high,7,concurrent,5,0,2,7
297,298,2017-02-15 23:59:00,7.8,high,7,concurrent,2,6,1,9
298,299,2017-04-05 14:59:00,7.0,high,7,concurrent,5,2,3,10
299,300,2017-07-07 14:29:00,5.5,medium,14,concurrent,3,5,3,11
300,301,2017-04-05 14:59:00,7.0,high,7,concurrent,2,7,3,12
301,302,2017-04-05 14:59:00,4.7,medium,14,concurrent,1,2,0,3
302,303,2017-04-05 14:59:00,7.0,high,7,concurrent,3,5,2,10
303,304,2017-04-05 14:59:00,4.7,medium,14,sequential,0,4,0,4
304,305,2017-05-02 21:59:00,7.8,high,7,concurrent,2,1,3,6
305,306,2017-04-05 14:59:00,7.0,high,7,concurrent,3,6,3,12
306,307,2017-03-08 01:59:00,7.8,high,7,sequential,5,3,2,10
307,308,2017-03-08 01:59:00,5.5,medium,14,concurrent,2,5,0,7
308,309,2017-03-08 01:59:00,7.8,high,7,concurrent,0,7,2,9
309,310,2017-03-08 01:59:00,5.5,medium,14,concurrent,5,6,0,11
310,311,2017-03-08 01:59:00,7.8,high,7,concurrent,3,3,0,6
311,312,2017-03-08 01:59:00,7.8,high,7,concurrent,0,3,1,4
312,313,2017-04-05 14:59:00,7.0,high,7,concurrent,0,0,0,0
313,314,2017-07-07 14:29:00,7.8,high,7,concurrent,4,0,0,4
314,315,2017-05-09 21:29:00,7.8,high,7,concurrent,0,4,1,5
315,316,2017-05-09 21:29:00,7.8,high,7,concurrent,5,1,2,8
316,317,2017-05-09 21:29:00,7.0,high,7,concurrent,1,5,3,9
317,318,2017-05-09 21:29:00,7.8,high,7,concurrent,1,0,1,2
318,319,2017-05-09 21:29:00,7.8,high,7,concurrent,0,2,3,5
319,320,2017-05-09 21:29:00,7.8,high,7,concurrent,5,0,3,8
320,321,2017-05-09 21:29:00,7.8,high,7,concurrent,1,6,0,7
321,322,2017-05-09 21:29:00,7.8,high,7,concurrent,4,0,2,6
322,323,2017-05-09 21:29:00,7.8,high,7,concurrent,0,6,2,8
323,324,2017-05-09 21:29:00,7.8,high,7,concurrent,1,1,1,3
324,325,2017-05-09 21:29:00,7.8,high,7,concurrent,4,2,0,6
325,326,2017-05-09 21:29:00,7.8,high,7,concurrent,0,6,3,9
326,327,2017-05-09 21:29:00,5.5,medium,14,concurrent,5,0,3,8
327,328,2017-05-09 21:29:00,4.7,medium,14,concurrent,3,0,1,4
328,329,2017-05-09 21:29:00,5.5,medium,14,concurrent,1,4,3,8
329,330,2018-04-13 15:29:00,9.8,critical,3,concurrent,5,7,1,13
330,331,2018-04-13 15:29:00,9.8,critical,3,concurrent,3,2,3,8
331,332,2018-04-13 15:29:00,7.8,high,7,concurrent,2,6,0,8
332,333,2018-04-13 16:29:00,9.8,critical,3,concurrent,3,1,0,4
333,334,2017-04-04 17:59:00,5.3,medium,14,concurrent,5,6,0,11
334,335,2018-04-13 16:29:00,7.8,high,7,concurrent,5,4,0,9
335,336,2018-04-13 16:29:00,8.8,high,7,concurrent,2,6,0,8
336,337,2018-04-13 16:29:00,6.1,medium,14,concurrent,3,4,1,8
337,338,2018-04-13 16:29:00,6.1,medium,14,concurrent,3,3,1,7
338,339,2018-04-13 16:29:00,4.7,medium,14,sequential,4,5,2,11
339,340,2018-04-13 16:29:00,5.4,medium,14,concurrent,2,1,0,3
340,341,2018-04-13 16:29:00,8.8,high,7,concurrent,3,7,1,11
341,342,2018-04-13 16:29:00,5.3,medium,14,concurrent,5,6,3,14
342,343,2018-04-13 16:29:00,6.5,medium,14,concurrent,2,4,2,8
343,344,2018-04-13 16:29:00,5.3,medium,14,concurrent,2,1,1,4
344,345,2018-04-13 16:29:00,9.8,critical,3,concurrent,1,0,1,2
345,346,2017-05-23 18:29:00,7.3,high,7,concurrent,0,1,2,3
346,347,2017-05-23 18:29:00,7.8,high,7,sequential,5,3,0,8
347,348,2017-06-09 17:29:00,7.5,high,7,concurrent,5,2,2,9
348,349,2017-06-09 17:29:00,7.5,high,7,concurrent,5,6,2,13
349,350,2017-07-02 15:29:00,7.5,high,7,concurrent,3,1,3,7
350,351,2017-07-20 17:29:00,6.1,medium,14,concurrent,5,7,2,14
351,352,2017-08-29 22:29:00,7.5,high,7,concurrent,2,1,0,3
352,353,2017-09-18 16:29:00,5.9,medium,14,concurrent,5,6,0,11
353,354,2017-01-12 20:59:00,7.8,high,7,concurrent,1,3,1,5
354,355,2017-01-12 20:59:00,7.8,high,7,concurrent,2,2,1,5
355,356,2017-01-12 20:59:00,7.8,high,7,sequential,3,5,1,9
356,357,2017-01-12 20:59:00,7.8,high,7,sequential,5,4,0,9
357,358,2017-01-12 20:59:00,7.8,high,7,concurrent,0,7,0,7
358,359,2017-01-12 20:59:00,7.8,high,7,concurrent,4,2,1,7
359,360,2017-01-12 20:59:00,7.8,high,7,concurrent,0,6,3,9
360,361,2017-01-12 20:59:00,5.5,medium,14,concurrent,0,1,3,4
361,362,2017-01-12 20:59:00,7.5,high,7,concurrent,0,3,0,3
